round,datetime,date,year,month,day,day_of_week,hour,season,original_load_mw,load_scale,load_mw,load_type
1,2020-07-01 00:00:00,2020-07-01,2020,7,1,Wednesday,1,summer,4097.411676,0.95,3892.5,hourly_chronological
2,2020-07-01 01:00:00,2020-07-01,2020,7,1,Wednesday,2,summer,3932.7850479999997,0.95,3736.1,hourly_chronological
3,2020-07-01 02:00:00,2020-07-01,2020,7,1,Wednesday,3,summer,3829.1566080000002,0.95,3637.7,hourly_chronological
4,2020-07-01 03:00:00,2020-07-01,2020,7,1,Wednesday,4,summer,3834.53529,0.95,3642.8,hourly_chronological
5,2020-07-01 04:00:00,2020-07-01,2020,7,1,Wednesday,5,summer,3893.9753800000003,0.95,3699.3,hourly_chronological
6,2020-07-01 05:00:00,2020-07-01,2020,7,1,Wednesday,6,summer,4097.067312,0.95,3892.2,hourly_chronological
7,2020-07-01 06:00:00,2020-07-01,2020,7,1,Wednesday,7,summer,4493.8047320000005,0.95,4269.1,hourly_chronological
8,2020-07-01 07:00:00,2020-07-01,2020,7,1,Wednesday,8,summer,4916.666213,0.95,4670.8,hourly_chronological
9,2020-07-01 08:00:00,2020-07-01,2020,7,1,Wednesday,9,summer,5346.580481999999,0.95,5079.3,hourly_chronological
10,2020-07-01 09:00:00,2020-07-01,2020,7,1,Wednesday,10,summer,5736.2602449999995,0.95,5449.4,hourly_chronological
11,2020-07-01 10:00:00,2020-07-01,2020,7,1,Wednesday,11,summer,6105.504744,0.95,5800.2,hourly_chronological
12,2020-07-01 11:00:00,2020-07-01,2020,7,1,Wednesday,12,summer,6394.882439,0.95,6075.1,hourly_chronological
13,2020-07-01 12:00:00,2020-07-01,2020,7,1,Wednesday,13,summer,6655.911659,0.95,6323.1,hourly_chronological
14,2020-07-01 13:00:00,2020-07-01,2020,7,1,Wednesday,14,summer,6840.485697999999,0.95,6498.5,hourly_chronological
15,2020-07-01 14:00:00,2020-07-01,2020,7,1,Wednesday,15,summer,6988.459778999999,0.95,6639.0,hourly_chronological
16,2020-07-01 15:00:00,2020-07-01,2020,7,1,Wednesday,16,summer,6976.4804,0.95,6627.7,hourly_chronological
17,2020-07-01 16:00:00,2020-07-01,2020,7,1,Wednesday,17,summer,6789.690828999999,0.95,6450.2,hourly_chronological
18,2020-07-01 17:00:00,2020-07-01,2020,7,1,Wednesday,18,summer,6525.309914,0.95,6199.0,hourly_chronological
19,2020-07-01 18:00:00,2020-07-01,2020,7,1,Wednesday,19,summer,6218.610094,0.95,5907.7,hourly_chronological
20,2020-07-01 19:00:00,2020-07-01,2020,7,1,Wednesday,20,summer,6123.284254,0.95,5817.1,hourly_chronological
21,2020-07-01 20:00:00,2020-07-01,2020,7,1,Wednesday,21,summer,5858.1735100000005,0.95,5565.3,hourly_chronological
22,2020-07-01 21:00:00,2020-07-01,2020,7,1,Wednesday,22,summer,5353.959199,0.95,5086.3,hourly_chronological
23,2020-07-01 22:00:00,2020-07-01,2020,7,1,Wednesday,23,summer,4847.090749999999,0.95,4604.7,hourly_chronological
24,2020-07-01 23:00:00,2020-07-01,2020,7,1,Wednesday,24,summer,4445.482757,0.95,4223.2,hourly_chronological
25,2020-07-02 00:00:00,2020-07-02,2020,7,2,Thursday,1,summer,4169.753474,0.95,3961.3,hourly_chronological
26,2020-07-02 01:00:00,2020-07-02,2020,7,2,Thursday,2,summer,3967.102986,0.95,3768.7,hourly_chronological
27,2020-07-02 02:00:00,2020-07-02,2020,7,2,Thursday,3,summer,3839.131605,0.95,3647.2,hourly_chronological
28,2020-07-02 03:00:00,2020-07-02,2020,7,2,Thursday,4,summer,3825.813341,0.95,3634.5,hourly_chronological
29,2020-07-02 04:00:00,2020-07-02,2020,7,2,Thursday,5,summer,3856.9854829999995,0.95,3664.1,hourly_chronological
