stress_case,round,datetime,year,month,day,day_of_week,season,date,hour,firm_id,technology_group_or_portfolio,firm_dispatch_mw,firm_revenue,firm_production_cost,firm_profit
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_CC,Gas_CC,1175.5,33160.33253727,32560.04858877,600.2839484999986
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_Coal,Coal,2317.0,65361.54018618,57390.892250619996,7970.647935560004
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_Nuclear,Nuclear,400.0,11283.822216,3241.4,8042.422216000001
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_CC,Gas_CC,1019.0999999999999,28629.514073754,28153.426804254,476.0872694999998
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_Coal,Coal,2317.0,65091.33952398001,57390.892250619996,7700.447273360009
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_Nuclear,Nuclear,400.0,11237.175576000001,3241.4,7995.775576000002
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_CC,Gas_CC,920.6999999999998,25865.168882057995,25389.081612557995,476.0872694999998
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_Coal,Coal,2317.0,65091.33952398001,57390.892250619996,7700.447273360009
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_Nuclear,Nuclear,400.0,11237.175576000001,3241.4,7995.775576000002
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_CC,Gas_CC,925.8000000000002,26008.442870652005,25532.355601152005,476.0872694999998
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_Coal,Coal,2317.0,65091.33952398001,57390.892250619996,7700.447273360009
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_Nuclear,Nuclear,400.0,11237.175576000001,3241.4,7995.775576000002
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_CC,Gas_CC,982.3000000000002,27595.69392076201,27119.60665126201,476.0872694999998
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_Coal,Coal,2317.0,65091.33952398001,57390.892250619996,7700.447273360009
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_Nuclear,Nuclear,400.0,11237.175576000001,3241.4,7995.775576000002
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_CC,Gas_CC,1175.1999999999998,33151.86967060799,32551.585722107997,600.2839484999986
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_Coal,Coal,2317.0,65361.54018618,57390.892250619996,7970.647935560004
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_Nuclear,Nuclear,400.0,11283.822216,3241.4,8042.422216000001
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_CC,Gas_CC,1552.1000000000004,44532.187069722015,43247.44142362201,1284.745646100002
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_Coal,Coal,2317.0,66478.36958994,57390.892250619996,9087.477339320012
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_Nuclear,Nuclear,400.0,11476.628328,3241.4,8235.228328000001
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_CC,Gas_CC,1953.8000000000002,56057.59106811601,54772.845422016006,1284.745646100002
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_Coal,Coal,2317.0,66478.36958994,57390.892250619996,9087.477339320012
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_Nuclear,Nuclear,400.0,11476.628328,3241.4,8235.228328000001
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_CC,Gas_CC,2362.3,71846.069202144,66893.38163624401,4952.687565899991
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_Coal,Coal,2317.0,70468.33270176,57390.892250619996,13077.440451139999
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_Nuclear,Nuclear,400.0,12165.443712,3241.4,8924.043712
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_CC,Gas_CC,2732.3999999999996,84270.504388752,78255.245235852,6015.259152900006
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_Coal,Coal,2317.0,71459.06846316,57390.892250619996,14068.176212540006
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_Nuclear,Nuclear,400.0,12336.481392,3241.4,9095.081392
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_CC,Gas_CC,3083.2,95305.32995020799,89091.356110908,6213.973839299986
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_CT,Gas_CT,0.0,0.0,0.0,0.0
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_Coal,Coal,2317.0,71621.18886048,57390.892250619996,14230.296609860003
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_Nuclear,Nuclear,400.0,12364.469376,3241.4,9123.069376
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,Firm_Oil,Oil,0.0,0.0,0.0,0.0
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,Firm_Backstop,Backstop,0.0,0.0,0.0,0.0
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,Firm_CC,Gas_CC,3195.0,128444.2054218,92547.2253015,35896.9801203
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,Firm_CT,Gas_CT,163.10000000000036,6556.885729044015,6556.885729044015,0.0
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,Firm_Coal,Coal,2317.0,93147.17494908,57390.892250619996,35756.28269846
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,Firm_Nuclear,Nuclear,400.0,16080.651696,3241.4,12839.251696000001
