stress_case,round,datetime,year,month,day,day_of_week,season,date,hour,load_mw,total_generation_mw,market_price,total_production_cost,total_consumer_payment,total_generator_profit,marginal_gen_id,marginal_firm_id,marginal_technology_group,backstop_dispatch_mw,backstop_dispatched,reserve_margin_excluding_backstop,reserve_margin_including_backstop
high,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,2020-07-01,1,3892.5,3892.5,28.20955554,93192.34083939,109805.69493945,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.0747591522157998,1.2032113037893386
high,2,2020-07-01 01:00:00,2020,7,1,Wednesday,summer,2020-07-01,2,3736.1,3736.1,28.092938940000003,88785.71905487399,104958.02917373402,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.1616123765423838,1.2954417708305455
high,3,2020-07-01 02:00:00,2020,7,1,Wednesday,summer,2020-07-01,3,3637.7,3637.7,28.092938940000003,86021.37386317799,102193.68398203801,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.220084119086236,1.3575336063996484
high,4,2020-07-01 03:00:00,2020,7,1,Wednesday,summer,2020-07-01,4,3642.8,3642.8,28.092938940000003,86164.647851772,102336.95797063202,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.2169759525639616,1.3542330075765894
high,5,2020-07-01 04:00:00,2020,7,1,Wednesday,summer,2020-07-01,5,3699.3,3699.3,28.092938940000003,87751.898901882,103924.20902074201,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.1831157245965453,1.318276430676074
high,6,2020-07-01 05:00:00,2020,7,1,Wednesday,summer,2020-07-01,6,3892.2,3892.2,28.20955554,93183.87797272799,109797.232072788,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.074919068907045,1.2033811212167929
high,7,2020-07-01 06:00:00,2020,7,1,Wednesday,summer,2020-07-01,7,4269.1,4269.1,28.691570820000003,103879.73367424202,122487.18498766203,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.8917336206694617,1.0088543252676208
high,8,2020-07-01 07:00:00,2020,7,1,Wednesday,summer,2020-07-01,8,4670.8,4670.8,28.691570820000003,115405.13767263602,134012.588986056,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.7290399931489251,0.8360880363106962
high,9,2020-07-01 08:00:00,2020,7,1,Wednesday,summer,2020-07-01,9,5079.3,5079.3,30.41360928,127525.67388686401,154479.845615904,26954.17172903999,213_CC_3,Firm_CC,Gas_CC,0.0,False,0.5899828716555431,0.6884216329021715
high,10,2020-07-01 09:00:00,2020,7,1,Wednesday,summer,2020-07-01,10,5449.4,5449.4,30.84120348,138887.537486472,168066.054243912,29178.51675744001,313_CC_1,Firm_CC,Gas_CC,0.0,False,0.4819980181304364,0.5737512386684773
high,11,2020-07-01 10:00:00,2020,7,1,Wednesday,summer,2020-07-01,11,5800.2,5800.2,30.91117344,149723.648361528,179290.988186688,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.392365780490328,0.47856970449294867
high,12,2020-07-01 11:00:00,2020,7,1,Wednesday,summer,2020-07-01,12,6075.1,6075.1,40.20162924,159736.403281164,244228.91779592403,84492.51451476001,315_CT_8,Firm_CT,Gas_CT,0.0,False,0.3293608335665257,0.411664005530773
high,13,2020-07-01 12:00:00,2020,7,1,Wednesday,summer,2020-07-01,13,6323.1,6323.1,44.2559997,170704.18790289003,279835.11170307,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.27722161597950357,0.35629675317486664
high,14,2020-07-01 13:00:00,2020,7,1,Wednesday,summer,2020-07-01,14,6498.5,6498.5,46.89542208,178642.21183853998,304749.90038688004,126107.68854834003,322_CT_6,Firm_CT,Gas_CT,0.0,False,0.24274832653689304,0.3196891590367008
high,15,2020-07-01 14:00:00,2020,7,1,Wednesday,summer,2020-07-01,15,6639.0,6639.0,49.4648745,185480.25552551998,328397.3018055,142917.04627998002,123_CT_4,Firm_CT,Gas_CT,0.0,False,0.21644826028016273,0.2917608073505047
high,16,2020-07-01 15:00:00,2020,7,1,Wednesday,summer,2020-07-01,16,6627.7,6627.7,49.4648745,184921.30244367,327838.34872365,142917.04627998002,123_CT_4,Firm_CT,Gas_CT,0.0,False,0.21852226262504337,0.29396321499162603
high,17,2020-07-01 16:00:00,2020,7,1,Wednesday,summer,2020-07-01,17,6450.2,6450.2,46.89542208,176377.162952076,302484.851500416,126107.68854834003,322_CT_5,Firm_CT,Gas_CT,0.0,False,0.2520541998697716,0.32957117608756326
high,18,2020-07-01 17:00:00,2020,7,1,Wednesday,summer,2020-07-01,18,6199.0,6199.0,44.2559997,165212.01834012,274342.9421403,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.302790772705275,0.3834489433779642
high,19,2020-07-01 18:00:00,2020,7,1,Wednesday,summer,2020-07-01,19,5907.7,5907.7,30.91117344,153046.599506328,182613.93933148799,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.3670294700137109,0.4516647764781556
high,20,2020-07-01 19:00:00,2020,7,1,Wednesday,summer,2020-07-01,20,5817.1,5817.1,30.91117344,150246.04719266403,179813.38701782402,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.3883206408691615,0.47427412284471626
high,21,2020-07-01 20:00:00,2020,7,1,Wednesday,summer,2020-07-01,21,5565.3,5565.3,30.91117344,142462.61372047203,172029.953545632,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.4511347097191525,0.5409771261207841
high,22,2020-07-01 21:00:00,2020,7,1,Wednesday,summer,2020-07-01,22,5086.3,5086.3,30.41360928,127738.569151824,154692.740880864,26954.17172903999,213_CC_3,Firm_CC,Gas_CC,0.0,False,0.5877946640976741,0.6860979493934687
high,23,2020-07-01 22:00:00,2020,7,1,Wednesday,summer,2020-07-01,23,4604.7,4604.7,28.691570820000003,113508.624841434,132116.076154854,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.7538601863313572,0.8624448932612332
high,24,2020-07-01 23:00:00,2020,7,1,Wednesday,summer,2020-07-01,24,4223.2,4223.2,28.691570820000003,102562.790573604,121170.241887024,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.9122939950748248,1.0306876302329986
high,25,2020-07-02 00:00:00,2020,7,2,Thursday,summer,2020-07-02,1,3961.3,3961.3,28.20955554,95133.158260542,111746.512360602,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.0387246610961047,1.1649458511094841
high,26,2020-07-02 01:00:00,2020,7,2,Thursday,summer,2020-07-02,2,3768.7,3768.7,28.092938940000003,89701.54886431799,105873.85898317801,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.1429140021758166,1.2755857457478705
high,27,2020-07-02 02:00:00,2020,7,2,Thursday,summer,2020-07-02,3,3647.2,3647.2,28.092938940000003,86288.256783108,102460.566901968,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.2143013818819917,1.3513928493090592
high,28,2020-07-02 03:00:00,2020,7,2,Thursday,summer,2020-07-02,4,3634.5,3634.5,28.092938940000003,85931.47645856999,102103.78657743002,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.2220387948823772,1.35960929976613
high,29,2020-07-02 04:00:00,2020,7,2,Thursday,summer,2020-07-02,5,3664.1,3664.1,28.092938940000003,86763.02745119398,102935.337570054,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.2040883163669114,1.3405474741409895
high,30,2020-07-02 05:00:00,2020,7,2,Thursday,summer,2020-07-02,6,3836.1,3836.1,28.20955554,91601.321906934,108214.67600699399,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.1052631578947367,1.2356038685122912
high,31,2020-07-02 06:00:00,2020,7,2,Thursday,summer,2020-07-02,7,4220.6,4220.6,28.691570820000003,102488.19248947201,121095.64380289202,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.9134720181964648,1.0319385869307678
high,32,2020-07-02 07:00:00,2020,7,2,Thursday,summer,2020-07-02,8,4663.6,4663.6,28.691570820000003,115198.55836273202,133806.00967615203,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.7317094090402263,0.8389227206449952
high,33,2020-07-02 08:00:00,2020,7,2,Thursday,summer,2020-07-02,9,5096.4,5096.4,30.41360928,128045.74660555199,154999.918334592,26954.17172903999,213_CC_3,Firm_CC,Gas_CC,0.0,False,0.5846479868142218,0.6827564555372421
high,34,2020-07-02 09:00:00,2020,7,2,Thursday,summer,2020-07-02,10,5483.1,5483.1,30.84120348,139926.886043748,169105.40280118803,29178.51675744001,313_CC_1,Firm_CC,Gas_CC,0.0,False,0.47288942386606103,0.5640787145957578
high,35,2020-07-02 10:00:00,2020,7,2,Thursday,summer,2020-07-02,11,5843.5,5843.5,30.91117344,151062.10217148002,180629.44199664,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.38204842987935317,0.4676135877470693
high,36,2020-07-02 11:00:00,2020,7,2,Thursday,summer,2020-07-02,12,6154.4,6154.4,44.2559997,163238.2007535,272369.12455367995,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.31223189912907845,0.39347458728714413
high,37,2020-07-02 12:00:00,2020,7,2,Thursday,summer,2020-07-02,13,6449.9,6449.9,46.89542208,176363.094325452,302470.782873792,126107.68854834003,322_CT_5,Firm_CT,Gas_CT,0.0,False,0.2521124358517186,0.3296330175661639
high,38,2020-07-02 13:00:00,2020,7,2,Thursday,summer,2020-07-02,14,6689.1,6689.1,49.4648745,187958.44573797,330875.49201795005,142917.04627998002,123_CT_5,Firm_CT,Gas_CT,0.0,False,0.2073373099520115,0.28208578134577134
high,39,2020-07-02 14:00:00,2020,7,2,Thursday,summer,2020-07-02,15,6854.6,6854.6,50.8837098,196337.6263842,348787.47719508,152449.85081088002,301_CT_3,Firm_CT,Gas_CT,0.0,False,0.17818691097948824,0.25113062760773786
high,40,2020-07-02 15:00:00,2020,7,2,Thursday,summer,2020-07-02,16,6888.7,6888.7,50.8837098,198072.76088837997,350522.61169925996,152449.85081088002,301_CT_4,Firm_CT,Gas_CT,0.0,False,0.17235472585538636,0.24493736118570997
high,41,2020-07-02 16:00:00,2020,7,2,Thursday,summer,2020-07-02,17,6769.5,6769.5,50.73210822,192014.62375526997,343431.00659529003,151416.38284002,207_CT_2,Firm_CT,Gas_CT,0.0,False,0.19299800576113446,0.26685870448334437
high,42,2020-07-02 17:00:00,2020,7,2,Thursday,summer,2020-07-02,18,6428.7,6428.7,44.2559997,175377.62147120998,284508.54527138994,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.2562415418358299,0.3340177640891626
high,43,2020-07-02 18:00:00,2020,7,2,Thursday,summer,2020-07-02,19,6138.8,6138.8,44.2559997,162547.80715818,271678.73095836,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.31556656023978613,0.3970157033948003
high,44,2020-07-02 19:00:00,2020,7,2,Thursday,summer,2020-07-02,20,6017.1,6017.1,40.20162924,157404.70878524403,241897.22330000403,84492.51451476001,315_CT_7,Firm_CT,Gas_CT,0.0,False,0.3421748018148276,0.42527131009954955
high,45,2020-07-02 20:00:00,2020,7,2,Thursday,summer,2020-07-02,21,5741.7,5741.7,30.91117344,147915.344715288,177482.68454044798,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.4065520664611526,0.4936342894961423
high,46,2020-07-02 21:00:00,2020,7,2,Thursday,summer,2020-07-02,22,5309.6,5309.6,30.84120348,134575.937239968,163754.453997408,29178.51675744001,313_CC_1,Firm_CC,Gas_CC,0.0,False,0.5210185324694891,0.6151875847521469
high,47,2020-07-02 22:00:00,2020,7,2,Thursday,summer,2020-07-02,23,4755.8,4755.8,28.691570820000003,117843.92119233601,136451.372505756,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.6981370116489338,0.8032717944404726
high,48,2020-07-02 23:00:00,2020,7,2,Thursday,summer,2020-07-02,24,4360.3,4360.3,28.691570820000003,106496.404933026,125103.85624644601,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.8521661353576588,0.9668371442331949
high,49,2020-07-03 00:00:00,2020,7,3,Friday,summer,2020-07-03,1,4090.7,4090.7,28.20955554,98783.47474741799,115396.828847478,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,0.9742342386388638,1.0964627080939695
high,50,2020-07-03 01:00:00,2020,7,3,Friday,summer,2020-07-03,2,3899.4,3899.4,28.20955554,93386.98677261599,110000.34087267601,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.0710878596707185,1.199312714776632
high,51,2020-07-03 02:00:00,2020,7,3,Friday,summer,2020-07-03,3,3765.2,3765.2,28.092938940000003,89603.22357802799,105775.53369688801,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.1449059810899822,1.2777010517369596
high,52,2020-07-03 03:00:00,2020,7,3,Friday,summer,2020-07-03,4,3739.6,3739.6,28.092938940000003,88884.04434116399,105056.35446002401,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.159589260883517,1.2932934003636753
high,53,2020-07-03 04:00:00,2020,7,3,Friday,summer,2020-07-03,5,3745.5,3745.5,28.092938940000003,89049.79268090999,105222.10279977001,16172.310118860009,321_CC_1,Firm_CC,Gas_CC,0.0,False,1.1561874249098918,1.289680950473902
high,54,2020-07-03 05:00:00,2020,7,3,Friday,summer,2020-07-03,6,3914.5,3914.5,28.20955554,93812.95106127,110426.30516133,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.0630987354706858,1.1908289692170135
high,55,2020-07-03 06:00:00,2020,7,3,Friday,summer,2020-07-03,7,4297.2,4297.2,28.691570820000003,104685.966814284,123293.418127704,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.8793633063390116,0.9957181420459835
high,56,2020-07-03 07:00:00,2020,7,3,Friday,summer,2020-07-03,8,4711.1,4711.1,28.691570820000003,116561.407976682,135168.85929010203,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.7142493260597311,0.8203816518435183
high,57,2020-07-03 08:00:00,2020,7,3,Friday,summer,2020-07-03,9,5166.9,5166.9,30.41360928,130189.90605979199,157144.077788832,26954.17172903999,213_CC_3,Firm_CC,Gas_CC,0.0,False,0.5630261859141847,0.6597960092124873
high,58,2020-07-03 09:00:00,2020,7,3,Friday,summer,2020-07-03,10,5564.7,5564.7,30.91117344,142444.06701640802,172011.40684156798,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.45129117472640035,0.5411432781641419
high,59,2020-07-03 10:00:00,2020,7,3,Friday,summer,2020-07-03,11,5933.7,5933.7,40.20162924,154051.892906628,238544.407421388,84492.51451476001,315_CT_6,Firm_CT,Gas_CT,0.0,False,0.36103948632387883,0.44530394189123146
high,60,2020-07-03 11:00:00,2020,7,3,Friday,summer,2020-07-03,12,6244.9,6244.9,44.2559997,167243.36872635,276374.29252653,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.2932152636551426,0.37328059696712534
high,61,2020-07-03 12:00:00,2020,7,3,Friday,summer,2020-07-03,13,6505.9,6505.9,46.89542208,178989.23796193197,305096.926510272,126107.68854834003,322_CT_6,Firm_CT,Gas_CT,0.0,False,0.2413347884228163,0.31818810618054383
high,62,2020-07-03 13:00:00,2020,7,3,Friday,summer,2020-07-03,14,6715.2,6715.2,50.73210822,189259.87027892398,340676.253118944,151416.38284002,207_CT_1,Firm_CT,Gas_CT,0.0,False,0.20264474624731954,0.27710269239933294
high,63,2020-07-03 14:00:00,2020,7,3,Friday,summer,2020-07-03,15,6859.0,6859.0,50.8837098,196561.51470731996,349011.3655182,152449.85081088002,301_CT_3,Firm_CT,Gas_CT,0.0,False,0.17743111240705645,0.25032803615687427
high,64,2020-07-03 15:00:00,2020,7,3,Friday,summer,2020-07-03,16,6895.7,6895.7,50.8837098,198428.94685697998,350878.79766786,152449.85081088002,301_CT_4,Firm_CT,Gas_CT,0.0,False,0.1711646388328958,0.24367359368882058
high,65,2020-07-03 16:00:00,2020,7,3,Friday,summer,2020-07-03,17,6783.6,6783.6,50.73210822,192729.946481172,344146.329321192,151416.38284002,207_CT_2,Firm_CT,Gas_CT,0.0,False,0.19051830886255083,0.26422548499321885
high,66,2020-07-03 17:00:00,2020,7,3,Friday,summer,2020-07-03,18,6494.3,6494.3,46.89542208,178445.25106580398,304552.93961414404,126107.68854834003,322_CT_6,Firm_CT,Gas_CT,0.0,False,0.24355203794096347,0.3205426296906517
high,67,2020-07-03 18:00:00,2020,7,3,Friday,summer,2020-07-03,19,6183.4,6183.4,44.2559997,164521.62474479998,273652.54854497995,109130.92380017998,218_CC_1,Firm_CC,Gas_CC,0.0,False,0.30607756250606477,0.38693922437493944
high,68,2020-07-03 19:00:00,2020,7,3,Friday,summer,2020-07-03,20,5998.3,5998.3,40.20162924,156648.918155532,241141.43267029204,84492.51451476001,315_CT_7,Firm_CT,Gas_CT,0.0,False,0.34638147475117953,0.4297384258873347
high,69,2020-07-03 20:00:00,2020,7,3,Friday,summer,2020-07-03,21,5758.3,5758.3,30.91117344,148428.47019439202,177995.810019552,29567.339825159987,318_CC_1,Firm_CC,Gas_CC,0.0,False,0.4024972648177414,0.4893284476321136
high,70,2020-07-03 21:00:00,2020,7,3,Friday,summer,2020-07-03,22,5376.1,5376.1,30.84120348,136626.87727138802,165805.394028828,29178.51675744001,313_CC_1,Firm_CC,Gas_CC,0.0,False,0.502204200070683,0.5952084224623797
high,71,2020-07-03 22:00:00,2020,7,3,Friday,summer,2020-07-03,23,4907.5,4907.5,30.41360928,122300.61581256,149254.7875416,26954.17172903999,213_CC_3,Firm_CC,Gas_CC,0.0,False,0.6456444218033621,0.7475292919001528
high,72,2020-07-03 23:00:00,2020,7,3,Friday,summer,2020-07-03,24,4540.8,4540.8,28.691570820000003,111675.233466036,130282.68477945602,18607.451313420013,323_CC_2,Firm_CC,Gas_CC,0.0,False,0.7785412262156448,0.8886539816772374
high,73,2020-07-04 00:00:00,2020,7,4,Saturday,summer,2020-07-04,1,4230.0,4230.0,28.691570820000003,102757.89325518001,121365.3445686,18607.451313420013,323_CC_1,Firm_CC,Gas_CC,0.0,False,0.9092198581560285,1.0274231678486996
high,74,2020-07-04 01:00:00,2020,7,4,Saturday,summer,2020-07-04,2,4002.1,4002.1,28.20955554,96284.10812657399,112897.462226634,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.0179405811948725,1.1428749906299194
high,75,2020-07-04 02:00:00,2020,7,4,Saturday,summer,2020-07-04,3,3827.1,3827.1,28.20955554,91347.43590707399,107960.790007134,16613.354100060005,118_CC_1,Firm_CC,Gas_CC,0.0,False,1.1102140001567768,1.2408612265161612
