run_id,run_tag,treatment,seed,avg_price_increase,avg_market_price,avg_truthful_price,total_consumer_payment_increase,avg_markup,total_firm_profit,total_firm_profit_gain,mean_firm_regret,mean_relative_regret_br,mean_hour_max_regret,retry_used_rows,fallback_used_rows,valid_response_rows
revised_v2_hourly_summer_high_daily_schedule_tarj_compliance_openai_gpt-4.1_temp0p2_seed1,revised_v2,tarj_compliance,1,7.67563522725,41.311703610821425,33.63606838357143,8284121.993684839,1.1574404761904762,16227701.632481437,8272479.310592612,38429.02641966563,0.2757812943546744,164161.50410387252,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_compliance_openai_gpt-4.1_temp0p2_seed2,revised_v2,tarj_compliance,2,7.011791508738095,40.64785989230952,33.63606838357143,7623458.820146052,1.1429761904761906,15554140.744991962,7598918.423103141,38755.48070637632,0.27859751661021015,166505.9543788405,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_compliance_openai_gpt-4.1_temp0p2_seed3,revised_v2,tarj_compliance,3,6.945997061892856,40.58206544546429,33.63606838357143,7477248.0651514735,1.1301190476190475,15422318.88829825,7467096.566409433,38671.152994299424,0.27472215885125717,166503.52405215314,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_compliance_openai_gpt-4.1_temp0p2_seed4,revised_v2,tarj_compliance,4,7.564027846410714,41.20009622998215,33.63606838357143,7967596.57850894,1.1565476190476192,15884609.363787998,7929387.041899174,38035.618877902474,0.25464473595423104,165623.131513731,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_compliance_openai_gpt-4.1_temp0p2_seed5,revised_v2,tarj_compliance,5,5.133361023136904,38.769429406708326,33.63606838357143,5422242.094790965,1.1348214285714286,13331896.976827364,5376674.654938543,41391.1446626701,0.2692508844955836,174677.80955645576,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_balanced_profit_compliance_openai_gpt-4.1_temp0p2_seed1,sbert_direction_v1,tarj_balanced_profit_compliance,1,24.511561603758928,58.14762998733035,33.63606838357143,26148348.45871483,1.6408333333333336,34078933.93341799,26123711.611529164,36759.91775040267,0.28225227710504414,142283.91284056907,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_balanced_profit_compliance_openai_gpt-4.1_temp0p2_seed2,sbert_direction_v1,tarj_balanced_profit_compliance,2,26.70037258945238,60.33644097302381,33.63606838357143,28236301.66932045,1.589940476190476,36169044.1241625,28213821.802273683,34802.22274019052,0.2594045571865847,143114.23830042063,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_balanced_profit_compliance_openai_gpt-4.1_temp0p2_seed3,sbert_direction_v1,tarj_balanced_profit_compliance,3,30.0098073616756,63.645875745247025,33.63606838357143,31989856.591920793,1.5761309523809528,39923486.807922244,31968264.48603343,32320.229139639214,0.27263599502230534,130938.50038347727,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_balanced_profit_compliance_openai_gpt-4.1_temp0p2_seed4,sbert_direction_v1,tarj_balanced_profit_compliance,4,20.408669017529764,54.04473740110119,33.63606838357143,21229579.81787239,1.4793452380952379,29158870.13093305,21203647.80904423,35189.596335669776,0.25476833133394566,148518.40117088114,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_balanced_profit_compliance_openai_gpt-4.1_temp0p2_seed5,sbert_direction_v1,tarj_balanced_profit_compliance,5,24.984493695217267,58.620562078788694,33.63606838357143,26370735.529955413,1.667559523809524,34309058.31596549,26353835.99407667,36876.18147803583,0.27005948389887596,145870.82822559783,0,0,840
