treatment,round,max_firm_regret,total_current_profit
tarj_aggressive_profit_max,1,14069.760720435,83066.77050030004
tarj_aggressive_profit_max,2,11997.089574327,80861.55059430008
tarj_aggressive_profit_max,3,10614.916978478996,80861.55059430008
tarj_aggressive_profit_max,4,10686.553972776002,80861.55059430008
tarj_aggressive_profit_max,5,11480.179497831004,80861.55059430008
tarj_aggressive_profit_max,6,13260.7478682432,137965.38653669404
tarj_aggressive_profit_max,7,27311.966024503505,246146.2378016777
tarj_aggressive_profit_max,8,63409.61134101904,394565.58178572607
tarj_aggressive_profit_max,9,171300.32507268607,771854.036290746
tarj_aggressive_profit_max,10,269147.16882658796,1165242.5802153738
tarj_aggressive_profit_max,11,312459.2582173081,1711395.9396318558
tarj_aggressive_profit_max,12,181488.5211151382,3743900.204166036
tarj_aggressive_profit_max,13,104507.44323360002,5736022.481586223
tarj_aggressive_profit_max,14,136559.18532989995,8072196.92819754
tarj_aggressive_profit_max,15,138274.2851022,10615869.997082701
tarj_aggressive_profit_max,16,141907.48013422504,10599031.123689601
tarj_aggressive_profit_max,17,109690.6670462638,7201971.426366192
tarj_aggressive_profit_max,18,417654.3646629001,3946063.20727689
tarj_aggressive_profit_max,19,336895.40184085805,1647848.0219422118
tarj_aggressive_profit_max,20,343556.7807081662,921936.076550334
tarj_aggressive_profit_max,21,286331.5060693621,505057.1991991174
tarj_aggressive_profit_max,22,131681.30284259707,283047.1459705868
tarj_aggressive_profit_max,23,50287.43213704857,140283.49911091634
tarj_aggressive_profit_max,24,18232.866247524,93037.25656710009
tarj_aggressive_profit_max,25,15223.286647161003,83066.77050030004
tarj_aggressive_profit_max,26,12455.004479048996,80861.55059430008
tarj_aggressive_profit_max,27,10748.358438443998,80861.55059430008
tarj_aggressive_profit_max,28,10569.968276175,80861.55059430008
tarj_aggressive_profit_max,29,10985.743772487,80861.55059430008
tarj_aggressive_profit_max,30,12627.725441925602,137174.10850379706
tarj_aggressive_profit_max,31,26291.687877006,244406.81132071518
tarj_aggressive_profit_max,32,62147.41623558306,394100.7783384421
tarj_aggressive_profit_max,33,175363.792016208,774102.5145728879
tarj_aggressive_profit_max,34,277183.45274323213,1171732.9967283711
tarj_aggressive_profit_max,35,322301.9095559101,1723194.4755576998
tarj_aggressive_profit_max,36,301210.60212576017,4084446.32482104
tarj_aggressive_profit_max,37,111367.73581297204,7230908.676098467
tarj_aggressive_profit_max,38,83516.49410580008,9697900.826957552
tarj_aggressive_profit_max,39,76638.7035943201,11228145.21851538
tarj_aggressive_profit_max,40,85295.81852693987,11280217.81122906
tarj_aggressive_profit_max,41,159193.02911850007,7981913.52069993
tarj_aggressive_profit_max,42,272673.2684209199,5024406.824805654
tarj_aggressive_profit_max,43,301127.3814102242,2341802.112762144
tarj_aggressive_profit_max,44,348112.07135955326,1469057.1526400452
tarj_aggressive_profit_max,45,348626.288564394,521482.8760541809
tarj_aggressive_profit_max,46,184587.5802828313,300734.84212995926
tarj_aggressive_profit_max,47,73245.12943656003,141584.08801618693
tarj_aggressive_profit_max,48,21207.374571602995,93037.25656710009
tarj_aggressive_profit_max,49,17048.444890599,83066.77050030004
tarj_aggressive_profit_max,50,14166.681359778002,83066.77050030004
